"from","to","weight","hourdiff","is_duplicate"
"187461221","187461232",1,0,"from"
"187461224","187461194",1,0,"to"
"187461226","187461248",1,0,"from"
"187461226","187463202",0.4123,24,"both"
"187461231","187453478",0.4251,-24,"both"
"187461231","187453488",0.5089,-24,"both"
"187461231","187453500",0.5089,-24,"from"
"187461231","187461191",0.4167,0,"from"
"187461231","187463194",0.5179,24,"both"
"187461231","187463207",0.4368,24,"both"
"187461231","187463216",0.4568,24,"both"
"187461231","187463217",0.4568,24,"both"
"187461231","187463225",0.4368,24,"both"
"187461232","187461221",1,0,"to"
"187461236","187461251",0.9996,0,"from"
"187461237","187453525",0.4265,-24,"both"
"187461237","187453706",0.4265,-24,"from"
"187461240","187461298",1,0,"from"
"187461245","187453497",0.4093,-24,"from"
"187461246","187461268",0.4437,0,"from"
"187461246","187463170",0.412,24,"both"
"187461248","187461226",1,0,"to"
"187461248","187463202",0.4123,24,"to"
"187461251","187461236",0.9996,0,"to"
"187461261","187461324",1,0,"from"
"187461262","187453697",0.5403,-24,"both"
"187461262","187453698",0.4604,-24,"from"
"187461262","187463320",0.6108,24,"both"
"187461262","187463338",0.6108,24,"both"
"187461263","187461388",1,0,"from"
"187461264","187461280",1,0,"from"
"187461268","187461246",0.4437,0,"to"
"187461268","187463170",0.4381,24,"to"
"187461274","187461220",1,0,"to"
"187461280","187461264",1,0,"to"
"187461298","187461240",1,0,"to"
"187461313","187461358",1,0,"both"
"187461313","187461378",0.4763,0,"both"
"187461318","187461179",0.416,0,"to"
"187461322","187461339",1,0,"from"
"187461324","187461261",1,0,"to"
"187461326","187461376",1,0,"from"
"187461329","187461203",1,0,"to"
"187461330","187461139",1,0,"to"
"187461334","187461374",1,0,"from"
"187461336","187461387",0.9988,0,"from"
"187461338","187461147",1,0,"to"
"187461339","187461322",1,0,"to"
"187461342","187463476",0.6882,24,"to"
"187461347","187461202",1,0,"to"
"187461351","187463536",0.7023,24,"to"
"187461353","187461144",1,0,"both"
"187461353","187461164",1,0,"both"
"187461353","187461356",1,0,"from"
"187461356","187461144",1,0,"to"
"187461356","187461164",1,0,"to"
"187461356","187461353",1,0,"to"
"187461358","187461313",1,0,"both"
"187461358","187461378",0.4763,0,"both"
"187461359","187453575",0.4161,-24,"from"
"187461360","187461364",1,0,"from"
"187461364","187461360",1,0,"to"
"187461365","187461186",1,0,"to"
"187461374","187461334",1,0,"to"
"187461375","187463170",0.4087,24,"to"
"187461376","187461326",1,0,"to"
"187461378","187461313",0.4763,0,"both"
"187461378","187461358",0.4763,0,"both"
"187461378","187461402",0.5005,0,"from"
"187461383","187453588",0.401,-24,"from"
"187461383","187463289",0.4697,24,"both"
"187461383","187463324",0.4697,24,"both"
"187461387","187461336",0.9988,0,"to"
"187461388","187461263",1,0,"to"
"187461391","187461148",1,0,"to"
"187461393","187461407",1,0,"from"
"187461402","187461378",0.5005,0,"to"
"187461407","187461393",1,0,"to"
"187461412","187453544",0.5056,-24,"both"
"187461412","187463316",0.5202,24,"both"
"187461543","187459463",0.6497,-24,"both"
"187461543","187459476",0.4409,-24,"both"
"187461543","187464091",0.4382,24,"both"
"187461543","187464100",0.6284,24,"both"
"187461543","187464106",0.5586,24,"both"
"187461543","187464107",0.4959,24,"both"
"187461549","187461621",1,0,"from"
"187461550","187461639",1,0,"from"
"187461553","187461583",1,0,"from"
"187461558","187461628",0.8745,0,"from"
"187461559","187461579",1,0,"from"
"187461559","187464150",0.4357,24,"both"
"187461567","187461622",1,0,"from"
"187461571","187459418",1,-24,"both"
"187461571","187464056",1,24,"both"
"187461576","187459429",0.4346,-24,"from"
"187461579","187461559",1,0,"to"
"187461579","187464150",0.4357,24,"to"
"187461583","187461553",1,0,"to"
"187461590","187459483",1,-24,"both"
"187461590","187464178",0.6422,24,"both"
"187461593","187461614",0.45,0,"from"
"187461599","187461624",1,0,"from"
"187461604","187459485",0.4997,-24,"both"
"187461606","187464120",0.5813,24,"to"
"187461608","187461634",1,0,"from"
"187461611","187459456",1,-24,"both"
"187461611","187464188",0.8462,24,"both"
"187461614","187461593",0.45,0,"to"
"187461617","187461620",1,0,"from"
"187461620","187461617",1,0,"to"
"187461621","187461549",1,0,"to"
"187461622","187461567",1,0,"to"
"187461624","187461599",1,0,"to"
"187461626","187459477",0.586,-24,"from"
"187461627","187459471",0.7856,-24,"both"
"187461627","187464173",0.5492,24,"both"
"187461627","187464209",0.6341,24,"both"
"187461628","187461558",0.8745,0,"to"
"187461631","187461632",1,0,"both"
"187461631","187461640",1,0,"from"
"187461632","187461631",1,0,"both"
"187461632","187461640",1,0,"from"
"187461634","187461608",1,0,"to"
"187461639","187461550",1,0,"to"
"187461640","187461631",1,0,"to"
"187461640","187461632",1,0,"to"
"187463095","187463153",0.4475,0,"from"
"187463099","187463161",1,0,"from"
"187463104","187463133",1,0,"from"
"187463109","187463140",1,0,"from"
"187463111","187463142",1,0,"from"
"187463112","187463134",0.5682,0,"from"
"187463118","187463171",1,0,"from"
"187463120","187463152",1,0,"from"
"187463124","187463150",1,0,"from"
"187463131","187463155",1,0,"from"
"187463133","187463104",1,0,"to"
"187463134","187463112",0.5682,0,"to"
"187463139","187463169",1,0,"from"
"187463140","187463109",1,0,"to"
"187463142","187463111",1,0,"to"
"187463150","187463124",1,0,"to"
"187463152","187463120",1,0,"to"
"187463153","187463095",0.4475,0,"to"
